Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
Turning the rents of his [the clergy man's] superfluous Cures Into your Phesants and your Partriches;,economics,religion,medicine,social_status,,,
"Let me but hawk at him, and, like the other, He shall confesse all,",animals,judiciary,,,,,
"[sacred law] The Sanctuarie and impregnable defence Of retir'd learning, and oppressed vertue",religion,judiciary,politics,reproduction,military,education,ethics
"a Lawyer that turnes sacred law Into a Harpye, that eates all but's owne,",judiciary,transformation,religion,myth,food,,
[a Lawyer that turnes sacred law] Into the damned sins it punisheth;,judiciary,transformation,religion,,,,
[a Lawyer that turnes sacred law] Into the Synagogue of theeues and Atheists;,judiciary,transformation,economics,religion,,,
"[a Lawyer that turnes] Blood into gold,",judiciary,transformation,anatomy,economics,,,
[a Lawyer that turnes] justice into lust:,judiciary,transformation,sexuality,,,,
Ile hawlke about your [Duke's] house,animals,politics,architecture,,,,
"hold your breath, Or by that poison'd vapour not the King Shall back your murtherous valour against me.",preservation,breathing,violence,politics,social_relations,character_traits__nature,
"cast that popular purple, In which your proud soul sits and braues your soueraigne.",privation,colors,character_traits__nature,danger__safety,politics,,
He has more titles. -- So Hydra had more heads.,social_status,myth,anatomy,,,,
"my Eagle, violence flies The Sanctuaries of a Princes eyes.",animals,violence,religion,movement,politics,anatomy,
"in himselfe (Without the outward patches of our frailtie, Riches and honour) knowes",privation,spatial,clothes,physical_attributes,economics,recognition,mental_faculty__state__entities
"the full impartiall hand of nature That all things gaue in her originall, Without these definite terms of Mine and Thine, Beene turn'd vniustly to the hand of Fortune:",judiciary,anatomy,nature,women,economics,ethics,mystical
"preseru'd her [nature] in her prime , No enuie, no disiunction had dissolu'd,",preservation,women,nature,emotions,social_relations,consumption,
"[preseru'd her [nature]] pluck'd out one sticke of the golden fagot, In which the world of Saturne was compris'd,",preservation,women,nature,violence,economics,myth,
"Had all beene held together with the nerues, The genius and th'ingenuous soul ",adhesion,anatomy,mystical,religion,,,
"Let my hand therefore be the Hermean rodde To part and reconcile, and so conserue you,",anatomy,myth,social_relations,preservation,,,
"wee shall not seeme womanish,  though wee change thus soone Neuer so great grudge for his greater pleasure.",appearance,women,transformation,feelings,,,
"his [the king's] hand shall prooue the Hermean rodde His grace affects,",politics,anatomy,myth,character_traits__nature,,,
[insolence] To racke mens freedomes with the ruder wrongs;,derision__offense___contempt,violence,social_relations,ethics,,,
"My hand (stucke full of lawrell, in true signe Tis wholly dedicate to righteous peace)",anatomy,nature,language,devotion,politics,,
sacrifice Full cups to confirmation of yours loues;,violence,religion,food,social_relations,devotion,,
What had my bounty drunke when it rais'd him?,character_traits__nature,food,social_status,,,,
Y'ave stucke us up a very proper flag That takes more winde than we with all our sailes.,hindrance,politics,nature,quantities,nautical,,
Vpstarts should neuer perch too neere a crowne.,social_status,animals,spatial,politics,,,
"as this doting hand, Euen out of earth, (like Iuno) strooke this giant, So Ioues great ordinance shall be here implide To strike him vnder the Etna of his pride:",anatomy,nature,myth,violence,emotions,judiciary,character_traits__nature
To which worke [striking] lend your hands and let us cast Where we may set snares for his gadding greatnes.,labor,violence,economics,anatomy,hunting__fishing,geography,social_status
"women, that worst may, Still hold mens candles",women,ethics,adhesion,men,fire,,
through whose [women's] charmd mouthes We may see all the close scapes of the Court:,women,mystical,anatomy,sensations,deception,politics,
"When the most royall beast of chace, the heart (being old, And cunning in his choice of layres and haunts) Can neuer be discouered to the bow  or hound",character_traits__nature,animals,hunting__fishing,anatomy,lifes_cycle,deception,accommodation
"where his [the heart's] custome is To beat his vault, and he ruts with his hinde, The place is markt, and by his Venery He still is taken.",anatomy,etiquette,violence,architecture,sexuality,hunting__fishing,
"If something given in hand, Sharpen their hopes of more;",economics,anatomy,weapons__armor,quantities,emotions,,
"I have already broke the ice, [told of the plan]",violence,materials,language,,,,
a spirit of Courtship of all hands:,character_traits__nature,courting,anatomy,,,,
"you reuiu'st me: may I sincke quicke into earth heere, if my tongue discouer it.",life,destruction,speed,nature,anatomy,discovering,
"The diuell he is, and your Lady his dam: ",religion,matrimony,,,,,
infinite regions between a womans tongue and her heart: is this our Goddesse of chastity?,size,geography,spatial,women,anatomy,religion,sexuality
"for if my heart were not hoopt with adamant, the conceipt of this [betrayal] would have burst it",anatomy,spatial,materials,mental_faculty__state__entities,social_relations,violence,
away drie palm: she has a liver as hard as a bisket,privation,physical_attributes,anatomy,food,women,,
"a man may go a whole voyage with her, and get nothing but tempests at her windpipe.",men,geography,privation,nature,anatomy,,
"Heer's one  has swallowd a porcupine, she casts pricks from her tongue so.",food,animals,women,violence,anatomy,,
"heer's a peacock seemes to have deuourd one of the Alpes, she has so swelling a spirit, and is so cold of her kindnesse.",animals,food,nature,women,character_traits__nature,temperature,
"We be no windfals my Lord; ye must gather us with the ladder of matrimony, or we'l hang till we be rotten.",nature,labor,adhesion,matrimony,consumption,,
"your portion [dowry] is a right riddle, a man shall neuer find it out:",economics,matrimony,men,mental_faculty__state__entities,language,,
"tis my chastity, which you shall neither riddle nor fiddle.",sexuality,language,music,,,,
"when you cannot get it [chastity], it goes toth' heart on you; and that  comes most neere you: and I am sure it shall bee farre enough off;",sexuality,anatomy,spatial,movement,,,
Farewell [woman] riddle. --medlar -- winter plum,greetings,women,language,sexuality,nature,food,
what fruit of our inquisition? feele you nothing budding,architecture,discovering,sensations,privation,nature,,
"with what monsters womens imaginations engrosse them when they are once enamour'd, ",deformities__disabilities,women,mental_faculty__state__entities,spatial,emotions,,
"They [enamour'd women] will make a sheepe valiant,",emotions,women,animals,character_traits__nature,,,
[enamour'd women] [will make] a Lion fearefull.,emotions,women,animals,,,,
[enamour'd women] [will make] an Asse confident,emotions,women,animals,character_traits__nature,,,
"the vnfounded Sea of womens bloods, That when tis calmest, is most dangerous;",spatial,nature,women,anatomy,danger__safety,,
"Not any wrincle creaming in their [women's] faces, When in their hearts are Scylla and Charibdis, Which still are hid in monster-formed cloudes,",physical_attributes,women,anatomy,myth,concealment,deformities__disabilities,nature
"Where never day shines, nothing ever growes, But weeds and poisons, that no states-man knowes;",time,light,privation,nature,violence,politics,mental_faculty__state__entities
Not Cerberus ever saw the damned nookes Hid with the vailes of womens vertuous lookes:,myth,sensations,spatial,concealment,clothes,women,ethics
upon my hooke; He awes my throat; else like Sybillas Caue It should breath oracles; ,hunting__fishing,mental_faculty__state__entities,anatomy,mystical,nature,breathing,
"resemble his aduanced valour Vnto a spirit rais'd without a circle, Endangering him that ignorantly rais'd him,",character_traits__nature,mystical,spatial,danger__safety,mental_faculty__state__entities,,
Thou dream'st awake: Obiect in th'emptie air,mental_faculty__state__entities,sleep,privation,nature,,,
"Worthie the head of Titan, worth his chaire.",recognition,anatomy,myth,economics,social_status,,
"by all fruits else Alreadie sprung from that affection,",food,architecture,affection,,,,
vtter plainly what I thinke of you? Why this swims quite against the streame of greatnesse:,language,mental_faculty__state__entities,physical_activities,resistance,nature,character_traits__nature,
"charge thee Euen from the roote of your free heart , display me",judiciary,nature,social_relations,anatomy,appearance,,
"tell me what you thinke As freely and as heartily of mee, Ile be as open in my thoughts of you.-- A bargaine of mine honour",language,mental_faculty__state__entities,social_relations,anatomy,spatial,economics,recognition
